username, created_at, lng, lat, text
keishamayenne, Mon Jan 25 05:39:39 +0000 2021, -73.723025, 45.557830, Totally 💯 https://t.co/wQyxV2UN6S 
elvamarr, Mon Jan 25 05:39:40 +0000 2021, -100.035038, 25.295710, @cinthya_dlg Jajajajaa 
ianimhof, Mon Jan 25 05:39:40 +0000 2021, -118.411907, 34.020789, Fuck @GavinNewsom, this is insanity. 
ArnulfoFranco00, Mon Jan 25 05:39:40 +0000 2021, -95.446486, 29.838495, I seen this girl at the  races 🐎 today y me enamoré alvvv &lt;333 and I got her snap 🤪 
papaprickett, Mon Jan 25 05:39:40 +0000 2021, -77.090869, 38.817380, @SoutheasternRec @JimboHart @joshhhsays I own that same shirt — folks always ask where I got it. I always direct th… https://t.co/FfVoHyzWwR 
1_adkins, Mon Jan 25 05:39:40 +0000 2021, -92.436774, 38.304558, @ThePaigeRandall Ha, you fucks really changed your life over it? 
jimmyDKB, Mon Jan 25 05:39:40 +0000 2021, -98.540651, 29.417501, I expect to see a few s/o's to a few baby daddies locked up in cell block D tonight. 
DaClementMusic, Mon Jan 25 05:39:40 +0000 2021, -73.968542, 40.780709, @longislanddon @lucasjsynthcat @McKaylaRoseJ It had nothing to do with a preventable terrorist attack, deregulating… https://t.co/mCmNpti50o 
2009P71_707, Mon Jan 25 05:39:40 +0000 2021, -122.676108, 38.452218, https://t.co/m6xEEbGb8d 
roydenogletree, Mon Jan 25 05:39:41 +0000 2021, -97.169156, 31.547449, “Jimmy Conway couldn’t have been more than 28 or 29 at the time.” In walks 50 year old De Niro 
TakeYuuThere, Mon Jan 25 05:39:41 +0000 2021, -90.247824, 38.653771, @shaunluvsmariah 👀 
bridenisedavis, Mon Jan 25 05:39:41 +0000 2021, -94.128634, 30.086918, I can’t hear Liability &amp; not hear “Welcome to the Black Parade” ... seriously go listen. 
klsmithphoto, Mon Jan 25 05:39:41 +0000 2021, -86.441236, 39.766555, Forever wishing I was Hayley Williams Also these are still my favorite self portraits to date 🥰 https://t.co/hPfHNTrrW1 
KingMidnight14, Mon Jan 25 05:39:41 +0000 2021, -83.804475, 27.698682, @spidal4ever It was overkill a while ago. I just don't see the point 
erikaloisy, Mon Jan 25 05:39:41 +0000 2021, -81.349740, 28.374332, Lo más chiquito de Juan Yabur y nene Gómez.. mi Bebe tambien🥰 https://t.co/nUoP0YpWSp 
hatrik10, Mon Jan 25 05:39:42 +0000 2021, -122.437379, 47.305305, @jbreslin33 @THEChrisKessell After a year of college in Tacoma, my family in Chicago asked me why I was “talking so funny” 
VofDoom, Mon Jan 25 05:39:42 +0000 2021, -87.732013, 41.833585, @brianmikell @PUSHATIFF @KIKILABEE_ CHYLE-- https://t.co/LAzlSy3XFC 
Hurrica18475798, Mon Jan 25 05:39:42 +0000 2021, -89.266508, 39.739300, @AnOpenSecret @JackPosobiec God bless our honorable , beloved FBI agents !! 🇺🇸 Salute ! 🇺🇸God bless those they res… https://t.co/vL0P2K4v4I 
BellGrossi_22, Mon Jan 25 05:39:43 +0000 2021, -111.945714, 40.472725, i wanna be skinny but like food.. ya know? 
McAllisterQb15, Mon Jan 25 05:39:43 +0000 2021, -105.063942, 40.564190, No love lost @coachjoeylynch. Wishing the best for you coach 
theprincequince, Mon Jan 25 05:39:43 +0000 2021, -118.156711, 33.809172, manifesting 🤑🙌🏽 
airiss504, Mon Jan 25 05:39:43 +0000 2021, -90.178629, 30.001244, me to my friends lastnight 🥺 
DennyHouck, Mon Jan 25 05:39:43 +0000 2021, -91.401008, 30.937336, @DTitland @newyorknadia13 @HNHughson @DanCrenshawTX I Couldn't have said it better! U R absolutely 💯% right my frie… https://t.co/0m40n1HYQE 
SueChainz_, Mon Jan 25 05:39:44 +0000 2021, -81.185067, 28.529141, Who closes the bus door after the bus driver gets off? 
AquariusinAZ, Mon Jan 25 05:39:44 +0000 2021, -112.124676, 33.552863, @jojolbaker Thanks! 
VeraPtDaRzrAway, Mon Jan 25 05:39:44 +0000 2021, -77.017853, 39.008349, Grits &amp; silver spring 
FamBloom, Mon Jan 25 05:39:44 +0000 2021, -95.446486, 29.838495, @HCSO_D1Patrol @HCSOTexas Love 
zoethewolfie, Mon Jan 25 05:39:44 +0000 2021, -74.439326, 40.621880, 7 hours of gaming, round 83, just for it to crash 🥴🥴 
Man_Of_Guitar, Mon Jan 25 05:39:44 +0000 2021, -119.025163, 35.346902, When I see people who flamed Trump for his COVID policy and complain about online school while still attending part… https://t.co/EAzzgLdfiJ 
Cptnxavier, Mon Jan 25 05:39:44 +0000 2021, -107.342056, 24.662488, @David_RR96 @EPN @SubrayadoM @lopezobrador_ Y te vas a quedar queriendo chiquitito 
bVee__, Mon Jan 25 05:39:45 +0000 2021, -118.411907, 34.020789, Milan and me boutta be cell mates 
kingme610, Mon Jan 25 05:39:45 +0000 2021, -75.386460, 39.145024, I just pissed myself😂😂😂😂 
angeliqueivette, Mon Jan 25 05:39:45 +0000 2021, -118.411907, 34.020789, Now watching Judas And The Black Messiah...excited for this one! 
yeonlix, Mon Jan 25 05:39:45 +0000 2021, -74.104304, 40.642161, @txtdcm @TXT_members the fact you have with irls 
Alocin42180, Mon Jan 25 05:39:45 +0000 2021, -87.732013, 41.833585, @ArwenMurdoch @cjchips311 That’s the Exact Amount of “O’s”!! 🤣 https://t.co/afgYFdV9je 
cumsupsion, Mon Jan 25 05:39:45 +0000 2021, -117.294096, 34.134925, @THYKILLEDKENNY not me thinking this is normal 
____des__, Mon Jan 25 05:39:45 +0000 2021, -112.124676, 33.552863, How I’m tryin to be :/ https://t.co/oDvyTIVo8t 
Amir_Khamoosh, Mon Jan 25 05:39:45 +0000 2021, -79.272570, 43.629311, @ShekoufehP 🙏🙏 
StayWreckn, Mon Jan 25 05:39:46 +0000 2021, -98.540651, 29.417501, Naw why they gotta limo at 4th 🤣 
sayxpig, Mon Jan 25 05:39:46 +0000 2021, -92.701944, 32.527726, Getting tired of these sugar momma bitches 😂😂 https://t.co/dv31fAntRB 
gisellitaaah, Mon Jan 25 05:39:47 +0000 2021, -117.851089, 33.842863, Just realized my parents are both cancers 
IamDjLil, Mon Jan 25 05:39:47 +0000 2021, -75.117998, 40.004866, @_KylaAlexis Now just childish 😭 
